,any_digital_payment,applied_for_mobile_loan,no_mobile_account_too_expensive,world_bank_region,saved_bank,made_utility_payment,saved_money,received_public_pension,recieved_agricultural_payment,emergency_fund_access,mobile_money_transaction,account_ownership,agri_payment_mobile,no_account_documentation,agri_payment_bank,no_account_too_expensive,account_usage,age,survey_year,no_account_insufficient_funds,respondent_id,financial_instituion_account,no_account_family_member,adult_population,store_money_account,agriculture_payment_method,education_level,emergency_funds,received_acc_balance_info,high_withdrawal_fee_wages,survey_weight,borrowed_from_family_friends,debit_card_ownership,income_quintile,wages_card,sent_domestic_remittance_account,account_ownership,employment_status,no_account_lack_of_trust,wages_mobile,ever_had_mobile_money_account,economy,account_transaction_activity,debit_card_ownership,no_account_distance,ever_had_bank_account,financial_health_indicator,agri_payment_card,mobile_money_usage,received_wages,wage_payment_method,merchantpay_dig,borrowed_money,no_mobile_account_lack_documentation,saved_mobile_money,utility_payment_cash,received_goverment_transfer,utility_payment_bank,borrowed_from_savings_club,emergency_fund_source,mobile_money_activity,mobile_money_account,agricultural_payment_mobile,wages_bank_account,economycode,received_agriculture_payment,utility_payment,recieved_wages,received_transfers,credit_card_ownership,borrowed_from_formal_bank,female,agriculture_payment_account,no_mobile_agents_far,mobile_money_send_recieve,utility_payment_mobile,codes_found,gender,age_group
10,1.0,2.0,2.0,East Asia & Pacific (excluding high income),1.0,2.0,1.0,2.0,2.0,2.0,,1,,,,,1.0,23.0,2021,,172516618,1,,58246340.0,,,1.0,2.0,2.0,,2.383735438,1.0,,Q2,,2.0,1.0,1.0,,,2.0,Thailand,2.0,2,,,,,,4.0,,0.0,1.0,,2.0,,2.0,,,1.0,,0.0,,,THA,4.0,4.0,2.0,4.0,1.0,2.0,2,,2.0,,,False,Male,23_29
11,1.0,2.0,1.0,East Asia & Pacific (excluding high income),1.0,1.0,1.0,2.0,2.0,3.0,1.0,1,,,,,1.0,72.0,2021,,161370016,1,,58246340.0,1.0,,2.0,5.0,1.0,,0.830981594,2.0,,Q5 Highest,,2.0,1.0,1.0,,,1.0,Thailand,1.0,2,,,,,2.0,4.0,,1.0,1.0,2.0,2.0,,2.0,1.0,,3.0,2.0,1.0,,,THA,4.0,1.0,2.0,4.0,1.0,2.0,2,,2.0,2.0,2.0,False,Male,70_plus
12,1.0,2.0,2.0,East Asia & Pacific (excluding high income),2.0,1.0,0.0,2.0,2.0,,1.0,1,,,,,2.0,20.0,2021,,141489949,1,,58246340.0,,,1.0,7.0,,,2.834493188,2.0,,Q1 Lowest,1.0,2.0,2.0,1.0,,2.0,2.0,Thailand,2.0,2,,,3.0,,,2.0,2.0,0.0,0.0,,2.0,1.0,1.0,2.0,,,,1.0,1.0,2.0,THA,4.0,2.0,1.0,1.0,2.0,2.0,2,1.0,2.0,,2.0,False,Male,18_22
13,1.0,2.0,1.0,East Asia & Pacific (excluding high income),1.0,1.0,1.0,2.0,2.0,3.0,1.0,1,,,,,1.0,29.0,2021,,168323468,1,,58246340.0,,,3.0,4.0,1.0,2.0,0.496218276,2.0,,Q5 Highest,,1.0,1.0,1.0,,1.0,2.0,Thailand,2.0,2,,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,,3.0,1.0,1.0,1.0,1.0,THA,4.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,False,Female,23_29
14,1.0,2.0,2.0,East Asia & Pacific (excluding high income),2.0,1.0,0.0,2.0,1.0,2.0,,1,2.0,,2.0,,2.0,58.0,2021,,130615598,1,,58246340.0,,2.0,1.0,2.0,,,4.357584441,2.0,2.0,Q1 Lowest,1.0,2.0,2.0,1.0,,2.0,2.0,Thailand,2.0,1,,,1.0,1.0,,2.0,2.0,0.0,0.0,,2.0,1.0,1.0,2.0,,2.0,,0.0,2.0,2.0,THA,2.0,2.0,1.0,1.0,2.0,2.0,2,2.0,2.0,,2.0,False,Male,50_59
15,1.0,2.0,1.0,East Asia & Pacific (excluding high income),1.0,1.0,1.0,2.0,2.0,2.0,,1,,,,,1.0,22.0,2021,,120493279,1,,58246340.0,,,3.0,3.0,1.0,2.0,0.64118658,2.0,1.0,Q4,,1.0,1.0,1.0,,2.0,2.0,Thailand,2.0,1,,,2.0,,,1.0,2.0,1.0,0.0,1.0,2.0,,1.0,2.0,,1.0,,1.0,1.0,1.0,THA,4.0,1.0,1.0,1.0,1.0,2.0,1,1.0,1.0,,1.0,False,Female,18_22
16,1.0,2.0,1.0,East Asia & Pacific (excluding high income),2.0,1.0,0.0,2.0,2.0,3.0,,1,,,,,1.0,33.0,2021,,120939423,1,,58246340.0,,,3.0,3.0,1.0,2.0,0.308541205,2.0,,Q1 Lowest,,2.0,2.0,1.0,,1.0,2.0,Thailand,2.0,2,,,,,,1.0,2.0,1.0,0.0,1.0,2.0,,2.0,1.0,,3.0,,1.0,,1.0,THA,4.0,1.0,1.0,4.0,1.0,2.0,1,,1.0,,1.0,False,Female,30_39
17,1.0,2.0,2.0,East Asia & Pacific (excluding high income),1.0,2.0,1.0,2.0,2.0,3.0,,1,,,,,1.0,55.0,2021,,181722458,1,,58246340.0,1.0,,3.0,1.0,1.0,2.0,0.205961814,2.0,2.0,Q5 Highest,,2.0,1.0,1.0,,2.0,1.0,Thailand,1.0,1,,,,,,1.0,2.0,1.0,1.0,,2.0,,1.0,,,3.0,,1.0,1.0,1.0,THA,4.0,4.0,1.0,1.0,1.0,2.0,2,2.0,2.0,,,False,Male,50_59
18,1.0,2.0,1.0,East Asia & Pacific (excluding high income),2.0,1.0,0.0,2.0,2.0,,,1,,,,,1.0,30.0,2021,,128073072,1,,58246340.0,1.0,,3.0,8.0,2.0,1.0,0.496218276,2.0,1.0,Q5 Highest,,1.0,1.0,1.0,,1.0,2.0,Thailand,1.0,1,,,2.0,,,1.0,2.0,1.0,1.0,3.0,2.0,,2.0,1.0,,,,1.0,,1.0,THA,4.0,1.0,1.0,4.0,1.0,2.0,1,,1.0,,1.0,False,Female,30_39
19,1.0,2.0,1.0,East Asia & Pacific (excluding high income),1.0,1.0,1.0,2.0,2.0,3.0,1.0,1,,,,,1.0,47.0,2021,,139200001,1,,58246340.0,1.0,2.0,3.0,2.0,2.0,2.0,0.349051564,2.0,1.0,Q3,,1.0,1.0,1.0,,1.0,1.0,Thailand,1.0,1,,,,,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,2.0,,3.0,1.0,1.0,2.0,1.0,THA,4.0,1.0,1.0,1.0,1.0,2.0,1,2.0,1.0,1.0,1.0,False,Female,40_49
20,1.0,2.0,1.0,East Asia & Pacific (excluding high income),2.0,1.0,1.0,2.0,2.0,3.0,,1,,,,,1.0,37.0,2021,,124245804,1,,58246340.0,1.0,,3.0,1.0,1.0,2.0,0.933096153,2.0,1.0,Q1 Lowest,,2.0,1.0,1.0,,1.0,1.0,Thailand,1.0,1,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,,2.0,1.0,,3.0,,1.0,,2.0,THA,4.0,1.0,1.0,4.0,1.0,2.0,1,,1.0,,1.0,False,Female,30_39
21,1.0,2.0,1.0,East Asia & Pacific (excluding high income),1.0,1.0,1.0,2.0,2.0,,1.0,1,,,,,1.0,28.0,2021,,210355279,1,,58246340.0,1.0,,2.0,8.0,1.0,2.0,1.314183571,2.0,1.0,Q1 Lowest,,2.0,1.0,1.0,,2.0,1.0,Thailand,1.0,1,,,,,2.0,1.0,1.0,1.0,1.0,3.0,2.0,,1.0,2.0,,,1.0,1.0,2.0,1.0,THA,4.0,1.0,1.0,1.0,1.0,2.0,1,1.0,1.0,1.0,1.0,False,Female,23_29
22,1.0,2.0,1.0,East Asia & Pacific (excluding high income),2.0,1.0,1.0,2.0,2.0,2.0,,1,,,,,1.0,22.0,2021,,153946385,1,,58246340.0,,,2.0,4.0,1.0,2.0,0.484549483,1.0,1.0,Q3,,1.0,1.0,1.0,,1.0,2.0,Thailand,2.0,1,,,3.0,,,1.0,2.0,1.0,1.0,2.0,2.0,,1.0,1.0,,2.0,,1.0,1.0,1.0,THA,4.0,1.0,1.0,1.0,1.0,2.0,2,1.0,1.0,,1.0,False,Male,18_22
