merchantpay_dig,account_usage,no_account_insufficient_funds,emergency_fund_source,female,received_public_pension,respondent_id,wages_mobile,survey_weight,account_ownership,mobile_money_activity,received_wages,saved_bank,saved_mobile_money,received_transfers,recieved_wages,made_utility_payment,received_acc_balance_info,store_money_account,agriculture_payment_account,ever_had_mobile_money_account,mobile_money_usage,utility_payment,economycode,no_mobile_account_lack_documentation,any_digital_payment,received_agriculture_payment,no_account_lack_of_trust,no_account_distance,credit_card_ownership,education_level,survey_year,borrowed_from_family_friends,no_account_too_expensive,agricultural_payment_mobile,no_account_documentation,borrowed_from_formal_bank,utility_payment_cash,mobile_money_send_recieve,sent_domestic_remittance_account,no_mobile_agents_far,applied_for_mobile_loan,financial_instituion_account,wages_card,utility_payment_bank,mobile_money_transaction,no_mobile_account_too_expensive,wage_payment_method,no_account_family_member,age,saved_money,recieved_agricultural_payment,borrowed_from_savings_club,borrowed_money,account_ownership,received_goverment_transfer,agri_payment_card,income_quintile,world_bank_region,account_transaction_activity,emergency_fund_access,debit_card_ownership,agri_payment_bank,mobile_money_account,utility_payment_mobile,agri_payment_mobile,financial_health_indicator,ever_had_bank_account,wages_bank_account,employment_status,debit_card_ownership,agriculture_payment_method,adult_population,emergency_funds,high_withdrawal_fee_wages,economy,codes_found,gender,age_group,education_original
1.0,2.0,,1.0,2,2.0,203419678,2.0,0.61809717,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,2.0,,2.0,THA,,1.0,4.0,,,1.0,2.0,2021,2.0,,1.0,,2.0,1.0,,2.0,1.0,2.0,1,,2.0,,2.0,2.0,,24.0,1.0,2.0,,0.0,1,1.0,,Q3,East Asia & Pacific (excluding high income),2.0,2.0,2.0,,1.0,2.0,,1.0,,1.0,1.0,1,,58246340.0,2.0,2.0,Thailand,False,Male,23_29,2.0
1.0,1.0,,1.0,1,2.0,189040691,,0.775021017,1.0,,4.0,2.0,2.0,1.0,2.0,1.0,1.0,,2.0,2.0,,1.0,THA,,1.0,4.0,,,1.0,1.0,2021,1.0,,1.0,,2.0,,,1.0,1.0,2.0,1,,1.0,,2.0,,,42.0,0.0,2.0,,1.0,1,1.0,,Q5 Highest,East Asia & Pacific (excluding high income),2.0,2.0,2.0,,1.0,1.0,,2.0,,,1.0,1,,58246340.0,4.0,,Thailand,False,Female,40_49,1.0
0.0,1.0,,2.0,1,2.0,119198451,,0.607483153,1.0,,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,THA,,1.0,4.0,,,1.0,2.0,2021,2.0,,1.0,,2.0,1.0,,2.0,2.0,2.0,1,,2.0,,2.0,,,41.0,0.0,2.0,,1.0,1,1.0,,Q3,East Asia & Pacific (excluding high income),1.0,2.0,1.0,,1.0,2.0,,2.0,,,2.0,1,,58246340.0,4.0,,Thailand,False,Female,40_49,2.0
1.0,1.0,,1.0,2,2.0,182809169,,2.04845674,1.0,,4.0,2.0,2.0,4.0,2.0,1.0,2.0,,,2.0,,1.0,THA,3.0,1.0,4.0,,,1.0,2.0,2021,1.0,,,,1.0,,,2.0,1.0,2.0,1,,1.0,,1.0,,,40.0,0.0,2.0,,1.0,1,2.0,,Q1 Lowest,East Asia & Pacific (excluding high income),2.0,1.0,1.0,,0.0,1.0,,4.0,,,1.0,1,,58246340.0,4.0,,Thailand,False,Male,40_49,2.0
1.0,1.0,,2.0,2,2.0,155433931,,0.441345501,1.0,1.0,4.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,,1.0,2.0,1.0,THA,3.0,1.0,4.0,,,1.0,3.0,2021,2.0,,,,2.0,,1.0,2.0,1.0,2.0,1,,1.0,1.0,1.0,,,59.0,1.0,2.0,,1.0,1,2.0,,Q5 Highest,East Asia & Pacific (excluding high income),1.0,2.0,2.0,,1.0,2.0,,,,,1.0,1,,58246340.0,4.0,,Thailand,False,Male,50_59,3.0
1.0,,2.0,,2,2.0,168737108,,5.714441691,,,4.0,2.0,2.0,1.0,2.0,2.0,,,2.0,2.0,,4.0,THA,,1.0,4.0,1.0,2.0,,1.0,2021,2.0,2.0,1.0,2.0,2.0,,,2.0,2.0,2.0,0,,,,2.0,,2.0,40.0,0.0,2.0,,0.0,1,1.0,,Q1 Lowest,East Asia & Pacific (excluding high income),,,,,1.0,,,,,,1.0,2,,58246340.0,7.0,,Thailand,False,Male,40_49,1.0
1.0,1.0,,3.0,2,2.0,178279741,1.0,0.777394936,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,THA,3.0,1.0,4.0,,,1.0,3.0,2021,2.0,,1.0,,1.0,,2.0,1.0,1.0,2.0,1,,1.0,1.0,1.0,2.0,,30.0,1.0,2.0,,1.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),1.0,3.0,1.0,,1.0,1.0,,,,1.0,1.0,1,,58246340.0,4.0,1.0,Thailand,False,Male,30_39,3.0
1.0,1.0,,3.0,2,2.0,182612762,2.0,0.172706162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,THA,3.0,1.0,4.0,,,1.0,3.0,2021,2.0,,1.0,,2.0,,1.0,2.0,1.0,2.0,1,,1.0,1.0,1.0,1.0,,54.0,1.0,2.0,2.0,0.0,1,1.0,,Q5 Highest,East Asia & Pacific (excluding high income),1.0,3.0,2.0,,1.0,2.0,,2.0,,1.0,1.0,1,,58246340.0,1.0,2.0,Thailand,False,Male,50_59,3.0
1.0,2.0,,3.0,1,2.0,184769721,,1.371765268,1.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,,1.0,2.0,2.0,4.0,THA,3.0,1.0,4.0,,,1.0,1.0,2021,2.0,,2.0,,2.0,,1.0,1.0,1.0,2.0,1,,,1.0,1.0,,,16.0,1.0,2.0,,0.0,1,1.0,,Q1 Lowest,East Asia & Pacific (excluding high income),2.0,3.0,2.0,,1.0,,,4.0,,,1.0,1,,58246340.0,2.0,,Thailand,False,Female,17_or_less,1.0
1.0,1.0,,3.0,1,2.0,197927088,1.0,0.210396006,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,,,1.0,2.0,1.0,THA,1.0,1.0,4.0,,,1.0,3.0,2021,2.0,,,,2.0,,1.0,1.0,1.0,2.0,1,,1.0,1.0,1.0,2.0,,21.0,1.0,2.0,,0.0,1,2.0,,Q1 Lowest,East Asia & Pacific (excluding high income),2.0,3.0,,,1.0,1.0,,2.0,,1.0,1.0,2,,58246340.0,2.0,1.0,Thailand,False,Female,18_22,3.0
1.0,2.0,,,2,2.0,122172071,,3.325507166,2.0,,4.0,2.0,2.0,1.0,2.0,2.0,,,2.0,2.0,,4.0,THA,,1.0,4.0,,,2.0,2.0,2021,1.0,,1.0,,2.0,,,1.0,1.0,2.0,1,,,,2.0,,,19.0,0.0,2.0,,1.0,1,1.0,,Q1 Lowest,East Asia & Pacific (excluding high income),2.0,,2.0,,1.0,,,3.0,,,1.0,1,,58246340.0,7.0,,Thailand,False,Male,18_22,2.0
1.0,1.0,,3.0,1,1.0,172034317,2.0,0.270952417,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,THA,3.0,1.0,4.0,,,1.0,3.0,2021,2.0,,1.0,,2.0,,,1.0,1.0,2.0,1,,1.0,,1.0,2.0,,43.0,1.0,2.0,,0.0,1,1.0,,Q5 Highest,East Asia & Pacific (excluding high income),2.0,3.0,1.0,,1.0,1.0,,,,1.0,1.0,1,,58246340.0,3.0,2.0,Thailand,False,Female,40_49,3.0
1.0,1.0,,3.0,1,2.0,140348282,,0.28810274,1.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,,2.0,1.0,2.0,2.0,THA,1.0,1.0,1.0,,,1.0,3.0,2021,2.0,,1.0,,2.0,1.0,2.0,2.0,1.0,2.0,1,,2.0,1.0,1.0,,,34.0,1.0,1.0,,1.0,1,1.0,,Q5 Highest,East Asia & Pacific (excluding high income),2.0,3.0,1.0,1.0,1.0,2.0,2.0,,,,1.0,1,,58246340.0,2.0,,Thailand,False,Female,30_39,3.0
1.0,1.0,,2.0,1,2.0,182299863,2.0,0.138056999,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,THA,3.0,1.0,4.0,,,1.0,3.0,2021,1.0,,2.0,,2.0,,1.0,1.0,1.0,2.0,1,,1.0,1.0,1.0,2.0,,28.0,1.0,2.0,,1.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),1.0,2.0,1.0,,1.0,1.0,,3.0,,1.0,1.0,1,,58246340.0,2.0,2.0,Thailand,False,Female,23_29,3.0
1.0,1.0,,3.0,2,2.0,202246860,2.0,0.192318439,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,THA,1.0,1.0,4.0,,,1.0,3.0,2021,1.0,,2.0,,1.0,,2.0,1.0,1.0,2.0,1,,1.0,1.0,1.0,2.0,,57.0,1.0,2.0,,1.0,1,1.0,,Q3,East Asia & Pacific (excluding high income),1.0,3.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1,2.0,58246340.0,4.0,1.0,Thailand,False,Male,50_59,3.0
0.0,2.0,,2.0,1,2.0,146069267,,1.447306336,2.0,,4.0,1.0,2.0,4.0,2.0,1.0,2.0,,,1.0,,2.0,THA,,1.0,4.0,,,1.0,1.0,2021,1.0,,,,1.0,1.0,,1.0,2.0,2.0,1,,2.0,,2.0,,,59.0,1.0,2.0,,1.0,1,2.0,,Q1 Lowest,East Asia & Pacific (excluding high income),2.0,1.0,1.0,,0.0,2.0,,4.0,,,1.0,1,,58246340.0,2.0,,Thailand,False,Female,50_59,1.0
0.0,1.0,,3.0,1,2.0,142027178,2.0,0.549563209,1.0,,2.0,2.0,2.0,4.0,1.0,1.0,,,,1.0,,2.0,THA,2.0,1.0,4.0,,,2.0,3.0,2021,2.0,,,,2.0,1.0,,2.0,2.0,2.0,1,1.0,2.0,,1.0,2.0,,39.0,1.0,2.0,,0.0,1,2.0,,Q4,East Asia & Pacific (excluding high income),2.0,3.0,,,0.0,2.0,,,,2.0,1.0,2,,58246340.0,2.0,,Thailand,False,Female,30_39,3.0
1.0,2.0,,2.0,1,2.0,160557466,2.0,0.435446098,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,2.0,2.0,,2.0,THA,,1.0,4.0,,,2.0,3.0,2021,1.0,,1.0,,2.0,1.0,,2.0,1.0,2.0,1,,2.0,,2.0,2.0,,41.0,0.0,2.0,,1.0,1,1.0,,Q5 Highest,East Asia & Pacific (excluding high income),1.0,3.0,2.0,,1.0,2.0,,,,1.0,1.0,1,,58246340.0,2.0,2.0,Thailand,False,Female,40_49,3.0
1.0,1.0,,3.0,1,2.0,199482149,,0.180121351,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,4.0,THA,3.0,1.0,4.0,,,1.0,2.0,2021,2.0,,2.0,,2.0,,2.0,2.0,1.0,2.0,1,,,2.0,1.0,,,67.0,0.0,2.0,,0.0,1,1.0,,Q2,East Asia & Pacific (excluding high income),2.0,3.0,2.0,,1.0,,,1.0,,,1.0,1,,58246340.0,2.0,,Thailand,False,Female,60_69,2.0
0.0,1.0,,3.0,2,2.0,156015306,,0.447294941,1.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,2.0,2.0,4.0,THA,,1.0,4.0,,,1.0,1.0,2021,2.0,,1.0,,2.0,,1.0,1.0,2.0,2.0,1,,,1.0,2.0,,,35.0,1.0,2.0,,0.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),2.0,3.0,2.0,,1.0,,,,,,2.0,1,,58246340.0,2.0,,Thailand,False,Male,30_39,1.0
1.0,1.0,,1.0,1,2.0,195969759,1.0,0.539221325,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,4.0,THA,1.0,1.0,4.0,,,1.0,2.0,2021,1.0,,2.0,,1.0,,1.0,1.0,1.0,2.0,1,,,1.0,1.0,2.0,,24.0,1.0,2.0,,1.0,1,1.0,,Q5 Highest,East Asia & Pacific (excluding high income),2.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1,,58246340.0,2.0,2.0,Thailand,False,Female,23_29,2.0
0.0,,2.0,3.0,2,2.0,130876175,,1.454420686,,,4.0,1.0,2.0,4.0,2.0,2.0,,,,2.0,,4.0,THA,2.0,0.0,4.0,1.0,2.0,,1.0,2021,2.0,2.0,,2.0,2.0,,,1.0,2.0,2.0,0,,,,1.0,,2.0,16.0,1.0,2.0,,0.0,0,2.0,,Q5 Highest,East Asia & Pacific (excluding high income),,3.0,,,0.0,,,,2.0,,1.0,2,,58246340.0,2.0,,Thailand,False,Male,17_or_less,1.0
1.0,1.0,,1.0,1,2.0,131696288,2.0,0.252305225,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,1.0,THA,3.0,1.0,4.0,,,1.0,3.0,2021,1.0,,1.0,,2.0,,1.0,1.0,1.0,2.0,1,,2.0,1.0,1.0,2.0,,22.0,1.0,2.0,,1.0,1,1.0,,Q3,East Asia & Pacific (excluding high income),2.0,2.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,1,,58246340.0,2.0,1.0,Thailand,False,Female,18_22,3.0
1.0,1.0,,1.0,1,2.0,130537155,1.0,0.138056999,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,THA,3.0,1.0,4.0,,,1.0,3.0,2021,1.0,,1.0,,2.0,,1.0,1.0,1.0,2.0,1,,1.0,1.0,1.0,1.0,,27.0,1.0,2.0,,1.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1,,58246340.0,2.0,2.0,Thailand,False,Female,23_29,3.0
1.0,1.0,,1.0,1,2.0,116028418,1.0,0.169904481,1.0,,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,,1.0,,1.0,THA,3.0,1.0,4.0,,,1.0,3.0,2021,2.0,,,,1.0,,,2.0,1.0,2.0,1,,2.0,,1.0,2.0,,37.0,1.0,2.0,,1.0,1,2.0,,Q4,East Asia & Pacific (excluding high income),1.0,2.0,1.0,,1.0,1.0,,4.0,,1.0,1.0,1,,58246340.0,4.0,2.0,Thailand,False,Female,30_39,3.0
1.0,1.0,,3.0,2,2.0,175441653,1.0,0.138056999,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,THA,1.0,1.0,1.0,,,1.0,2.0,2021,2.0,,1.0,,2.0,,2.0,2.0,1.0,2.0,1,,1.0,2.0,1.0,2.0,,50.0,1.0,1.0,,1.0,1,1.0,,Q5 Highest,East Asia & Pacific (excluding high income),1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1,,58246340.0,4.0,1.0,Thailand,False,Male,50_59,2.0
1.0,1.0,,3.0,2,2.0,123364529,1.0,0.157862851,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,THA,3.0,1.0,4.0,,,1.0,3.0,2021,2.0,,1.0,,2.0,,1.0,1.0,1.0,2.0,1,,1.0,1.0,1.0,2.0,,51.0,1.0,2.0,,1.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),1.0,3.0,1.0,,1.0,1.0,,,,1.0,1.0,1,,58246340.0,2.0,2.0,Thailand,False,Male,50_59,3.0
1.0,1.0,,2.0,1,2.0,115614273,2.0,0.308541205,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,THA,1.0,1.0,4.0,,,1.0,2.0,2021,2.0,,1.0,,2.0,,1.0,1.0,1.0,2.0,1,,1.0,1.0,1.0,2.0,,33.0,0.0,2.0,,0.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),2.0,3.0,1.0,,1.0,2.0,,1.0,,1.0,1.0,1,,58246340.0,4.0,2.0,Thailand,False,Female,30_39,2.0
1.0,1.0,,3.0,2,2.0,171814113,2.0,0.989319659,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,THA,3.0,1.0,4.0,,,1.0,3.0,2021,1.0,,3.0,,2.0,1.0,,1.0,1.0,2.0,1,,2.0,,1.0,2.0,,42.0,0.0,2.0,,1.0,1,1.0,,Q3,East Asia & Pacific (excluding high income),1.0,3.0,1.0,,0.0,2.0,,3.0,,1.0,1.0,1,,58246340.0,2.0,1.0,Thailand,False,Male,40_49,3.0
1.0,1.0,,1.0,2,1.0,204021222,1.0,1.058571699,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,THA,1.0,1.0,1.0,,,1.0,1.0,2021,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1,,1.0,1.0,1.0,1.0,,53.0,1.0,1.0,1.0,1.0,1,1.0,,Q3,East Asia & Pacific (excluding high income),1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,1,,58246340.0,2.0,1.0,Thailand,False,Male,50_59,1.0
1.0,1.0,,,1,2.0,156876483,3.0,1.205254596,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,2.0,THA,1.0,1.0,4.0,,,1.0,1.0,2021,1.0,,1.0,,2.0,1.0,,1.0,1.0,2.0,1,,2.0,,1.0,2.0,,44.0,1.0,2.0,2.0,1.0,1,1.0,,Q2,East Asia & Pacific (excluding high income),2.0,,,,1.0,2.0,,3.0,,1.0,1.0,2,,58246340.0,7.0,3.0,Thailand,False,Female,40_49,1.0
1.0,1.0,,1.0,1,2.0,160605120,,0.998332341,1.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,,,1.0,1.0,1.0,4.0,THA,1.0,1.0,4.0,,,1.0,2.0,2021,2.0,,1.0,,1.0,,1.0,2.0,2.0,2.0,1,,,1.0,1.0,,,16.0,1.0,2.0,,1.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),2.0,1.0,1.0,,1.0,,,1.0,,,2.0,1,,58246340.0,2.0,,Thailand,False,Female,17_or_less,2.0
1.0,1.0,,3.0,2,2.0,184733836,2.0,0.357891433,1.0,,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,,1.0,,4.0,THA,1.0,1.0,4.0,,,1.0,3.0,2021,2.0,,,,2.0,,,2.0,1.0,2.0,1,,,,1.0,2.0,,31.0,1.0,2.0,,1.0,1,2.0,,Q5 Highest,East Asia & Pacific (excluding high income),1.0,3.0,,,0.0,,,,,1.0,1.0,2,,58246340.0,1.0,2.0,Thailand,False,Male,30_39,3.0
1.0,1.0,,1.0,1,2.0,155471927,2.0,0.249767845,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,THA,3.0,1.0,4.0,,,1.0,3.0,2021,2.0,,2.0,,2.0,,2.0,2.0,1.0,2.0,1,1.0,,2.0,1.0,2.0,,36.0,1.0,2.0,2.0,1.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),1.0,2.0,,,1.0,,,2.0,,2.0,1.0,2,,58246340.0,1.0,,Thailand,False,Female,30_39,3.0
1.0,1.0,,2.0,1,2.0,150458194,,0.403271822,1.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,,1.0,2.0,2.0,1.0,THA,,1.0,4.0,,,1.0,3.0,2021,1.0,,1.0,,2.0,,2.0,1.0,1.0,2.0,1,,2.0,2.0,2.0,,,43.0,0.0,2.0,,1.0,1,1.0,,Q2,East Asia & Pacific (excluding high income),2.0,2.0,2.0,,1.0,1.0,,4.0,,,2.0,1,,58246340.0,2.0,,Thailand,False,Female,40_49,3.0
1.0,1.0,,,2,2.0,154663806,,0.238816598,1.0,,4.0,2.0,2.0,4.0,2.0,1.0,1.0,,,1.0,,1.0,THA,,1.0,4.0,,,1.0,3.0,2021,2.0,,,,2.0,,,2.0,2.0,2.0,1,,1.0,,2.0,,,26.0,1.0,2.0,,0.0,1,2.0,,Q4,East Asia & Pacific (excluding high income),2.0,,2.0,,0.0,1.0,,,,,2.0,1,,58246340.0,8.0,,Thailand,False,Male,23_29,3.0
1.0,,2.0,,2,2.0,174014999,,1.492217251,,,4.0,2.0,2.0,1.0,2.0,1.0,,,1.0,2.0,,2.0,THA,,1.0,4.0,1.0,2.0,,1.0,2021,2.0,2.0,2.0,1.0,2.0,1.0,,2.0,2.0,2.0,1,,2.0,,2.0,,2.0,34.0,1.0,2.0,,1.0,1,1.0,,Q3,East Asia & Pacific (excluding high income),,,,,0.0,2.0,,2.0,,,1.0,2,,58246340.0,8.0,,Thailand,False,Male,30_39,1.0
0.0,2.0,,,2,2.0,163247542,,5.714441691,2.0,,4.0,2.0,2.0,1.0,2.0,1.0,,,2.0,2.0,,2.0,THA,,1.0,4.0,,,2.0,1.0,2021,2.0,,2.0,,2.0,1.0,,1.0,2.0,2.0,1,,2.0,,2.0,,,72.0,0.0,2.0,,0.0,1,1.0,,Q1 Lowest,East Asia & Pacific (excluding high income),2.0,,2.0,,0.0,2.0,,1.0,,,1.0,1,2.0,58246340.0,9.0,,Thailand,False,Male,70_plus,1.0
1.0,2.0,,1.0,1,2.0,181548342,2.0,1.341989724,2.0,,2.0,2.0,2.0,4.0,1.0,1.0,2.0,,,2.0,,2.0,THA,2.0,1.0,2.0,,,1.0,1.0,2021,2.0,,,,2.0,1.0,,2.0,2.0,2.0,1,1.0,2.0,,1.0,2.0,,55.0,0.0,1.0,,0.0,1,2.0,1.0,Q3,East Asia & Pacific (excluding high income),2.0,2.0,2.0,2.0,0.0,2.0,2.0,,,2.0,1.0,1,,58246340.0,3.0,,Thailand,False,Female,50_59,1.0
1.0,1.0,,,1,4.0,126200190,,0.138056999,1.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,1.0,,4.0,2.0,5.0,THA,,1.0,5.0,,,1.0,3.0,2021,4.0,,,,4.0,,4.0,4.0,4.0,4.0,1,,,1.0,4.0,,,26.0,0.0,4.0,,1.0,1,4.0,,Q2,East Asia & Pacific (excluding high income),1.0,,1.0,,1.0,,,,,,1.0,1,,58246340.0,9.0,,Thailand,False,Female,23_29,3.0
1.0,1.0,,,1,2.0,184863330,,0.138056999,1.0,,4.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,,1.0,THA,1.0,1.0,4.0,,,1.0,3.0,2021,2.0,,1.0,,2.0,,,2.0,1.0,2.0,1,,2.0,,1.0,,,38.0,1.0,2.0,,0.0,1,1.0,,Q3,East Asia & Pacific (excluding high income),2.0,,2.0,,1.0,1.0,,2.0,,,1.0,1,,58246340.0,8.0,,Thailand,False,Female,30_39,3.0
1.0,2.0,,3.0,2,2.0,114886281,,0.287333685,1.0,,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,THA,,1.0,4.0,,,1.0,3.0,2021,2.0,,1.0,,2.0,,,1.0,2.0,2.0,1,,1.0,,2.0,,,82.0,1.0,2.0,,1.0,1,1.0,,Q1 Lowest,East Asia & Pacific (excluding high income),1.0,3.0,1.0,,1.0,2.0,,,,,2.0,1,,58246340.0,2.0,,Thailand,False,Male,70_plus,3.0
1.0,1.0,,1.0,1,2.0,119205314,,0.413793821,1.0,,4.0,2.0,2.0,1.0,2.0,1.0,1.0,,2.0,2.0,,1.0,THA,,1.0,4.0,,,1.0,3.0,2021,2.0,,1.0,,2.0,,,2.0,2.0,2.0,1,,1.0,,2.0,,,30.0,0.0,2.0,,0.0,1,1.0,,Q5 Highest,East Asia & Pacific (excluding high income),2.0,2.0,2.0,,1.0,2.0,,3.0,,,1.0,1,,58246340.0,2.0,,Thailand,False,Female,30_39,3.0
1.0,1.0,,3.0,2,2.0,111571312,1.0,4.724792758,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,THA,3.0,1.0,4.0,,,1.0,2.0,2021,1.0,,1.0,,2.0,,1.0,1.0,1.0,2.0,1,,1.0,1.0,1.0,2.0,,28.0,1.0,2.0,2.0,1.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),1.0,3.0,1.0,,1.0,1.0,,2.0,,1.0,1.0,1,,58246340.0,2.0,2.0,Thailand,False,Male,23_29,2.0
1.0,1.0,,3.0,2,2.0,175634520,,0.395271222,1.0,,4.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,,1.0,,4.0,THA,,1.0,4.0,,,1.0,3.0,2021,2.0,,,,1.0,,,2.0,2.0,2.0,1,,,,2.0,,,20.0,1.0,2.0,,1.0,1,2.0,,Q5 Highest,East Asia & Pacific (excluding high income),1.0,3.0,1.0,,0.0,,,2.0,,,1.0,1,,58246340.0,4.0,,Thailand,False,Male,18_22,3.0
0.0,2.0,,3.0,1,1.0,175381706,,0.342026338,2.0,,4.0,1.0,1.0,4.0,2.0,2.0,2.0,,1.0,1.0,,4.0,THA,,1.0,4.0,,,1.0,3.0,2021,2.0,,2.0,,2.0,,,2.0,2.0,2.0,1,,,,2.0,,,62.0,1.0,2.0,2.0,0.0,1,2.0,,Q5 Highest,East Asia & Pacific (excluding high income),2.0,3.0,2.0,,0.0,,,,,,2.0,1,,58246340.0,2.0,,Thailand,False,Female,60_69,3.0
0.0,1.0,,1.0,1,2.0,132554813,,1.055094292,1.0,,4.0,1.0,2.0,1.0,2.0,2.0,,,1.0,2.0,,4.0,THA,,1.0,4.0,,,1.0,1.0,2021,1.0,,2.0,,2.0,,,1.0,2.0,2.0,1,,,,2.0,,,65.0,1.0,2.0,,1.0,1,1.0,,Q1 Lowest,East Asia & Pacific (excluding high income),2.0,1.0,,,0.0,,,,,,2.0,2,,58246340.0,2.0,,Thailand,False,Female,60_69,1.0
1.0,1.0,,3.0,1,2.0,129714404,2.0,0.467780602,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,THA,3.0,1.0,4.0,,,1.0,3.0,2021,1.0,,1.0,,2.0,,1.0,1.0,1.0,2.0,1,,1.0,1.0,1.0,2.0,,50.0,1.0,2.0,,1.0,1,1.0,,Q2,East Asia & Pacific (excluding high income),1.0,3.0,1.0,,1.0,2.0,,,,1.0,1.0,1,,58246340.0,2.0,2.0,Thailand,False,Female,50_59,3.0
1.0,1.0,,2.0,1,2.0,149946484,1.0,0.218877638,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,THA,,1.0,4.0,,,1.0,3.0,2021,2.0,,2.0,,2.0,,1.0,2.0,1.0,2.0,1,,1.0,1.0,2.0,2.0,,50.0,1.0,2.0,,1.0,1,1.0,,Q5 Highest,East Asia & Pacific (excluding high income),1.0,2.0,2.0,,1.0,1.0,,,,1.0,1.0,1,,58246340.0,2.0,2.0,Thailand,False,Female,50_59,3.0
1.0,1.0,,2.0,2,2.0,175424318,1.0,0.386514799,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,THA,3.0,1.0,4.0,,,1.0,2.0,2021,1.0,,2.0,,2.0,,2.0,2.0,1.0,2.0,1,,1.0,1.0,1.0,2.0,,30.0,1.0,2.0,,1.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),2.0,2.0,1.0,,1.0,1.0,,1.0,,2.0,1.0,1,,58246340.0,2.0,2.0,Thailand,False,Male,30_39,2.0
