merchantpay_dig,account_usage,no_account_insufficient_funds,emergency_fund_source,female,received_public_pension,respondent_id,wages_mobile,survey_weight,account_ownership,mobile_money_activity,received_wages,saved_bank,saved_mobile_money,received_transfers,recieved_wages,made_utility_payment,received_acc_balance_info,store_money_account,agriculture_payment_account,ever_had_mobile_money_account,mobile_money_usage,utility_payment,economycode,no_mobile_account_lack_documentation,any_digital_payment,received_agriculture_payment,no_account_lack_of_trust,no_account_distance,credit_card_ownership,education_level,survey_year,borrowed_from_family_friends,no_account_too_expensive,agricultural_payment_mobile,no_account_documentation,borrowed_from_formal_bank,utility_payment_cash,mobile_money_send_recieve,sent_domestic_remittance_account,no_mobile_agents_far,applied_for_mobile_loan,financial_instituion_account,wages_card,utility_payment_bank,mobile_money_transaction,no_mobile_account_too_expensive,wage_payment_method,no_account_family_member,age,saved_money,recieved_agricultural_payment,borrowed_from_savings_club,borrowed_money,account_ownership,received_goverment_transfer,agri_payment_card,income_quintile,world_bank_region,account_transaction_activity,emergency_fund_access,debit_card_ownership,agri_payment_bank,mobile_money_account,utility_payment_mobile,agri_payment_mobile,financial_health_indicator,ever_had_bank_account,wages_bank_account,employment_status,debit_card_ownership,agriculture_payment_method,adult_population,emergency_funds,high_withdrawal_fee_wages,economy,codes_found,gender,age_group,education_original
0.0,1.0,,1.0,2,2.0,172516618,,2.383735438,1.0,,4.0,1.0,2.0,4.0,2.0,2.0,2.0,,,2.0,,4.0,THA,,1.0,4.0,,,1.0,1.0,2021,1.0,,,,2.0,,,2.0,2.0,2.0,1,,,,2.0,,,23.0,1.0,2.0,,1.0,1,2.0,,Q2,East Asia & Pacific (excluding high income),2.0,2.0,,,0.0,,,,,,1.0,2,,58246340.0,2.0,,Thailand,False,Male,23_29,1.0
1.0,1.0,,3.0,2,2.0,161370016,,0.830981594,1.0,2.0,4.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,,1.0,2.0,1.0,THA,2.0,1.0,4.0,,,1.0,2.0,2021,2.0,,,,2.0,,2.0,2.0,2.0,2.0,1,,1.0,1.0,1.0,,,72.0,1.0,2.0,,1.0,1,2.0,,Q5 Highest,East Asia & Pacific (excluding high income),1.0,3.0,,,1.0,2.0,,,,,1.0,2,,58246340.0,5.0,,Thailand,False,Male,70_plus,2.0
0.0,2.0,,,2,2.0,141489949,2.0,2.834493188,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,,,1.0,2.0,,2.0,THA,,1.0,4.0,,,2.0,1.0,2021,2.0,,1.0,,2.0,1.0,,2.0,2.0,2.0,1,1.0,2.0,1.0,2.0,2.0,,20.0,0.0,2.0,,0.0,1,1.0,,Q1 Lowest,East Asia & Pacific (excluding high income),2.0,,,,1.0,2.0,,3.0,,2.0,1.0,2,,58246340.0,7.0,,Thailand,False,Male,18_22,1.0
1.0,1.0,,3.0,1,2.0,168323468,1.0,0.496218276,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,THA,1.0,1.0,4.0,,,1.0,3.0,2021,2.0,,1.0,,1.0,,1.0,1.0,1.0,2.0,1,,1.0,1.0,1.0,2.0,,29.0,1.0,2.0,,1.0,1,1.0,,Q5 Highest,East Asia & Pacific (excluding high income),2.0,3.0,,,1.0,1.0,,1.0,,1.0,1.0,2,,58246340.0,4.0,2.0,Thailand,False,Female,23_29,3.0
0.0,2.0,,2.0,2,2.0,130615598,2.0,4.357584441,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,,,2.0,2.0,,2.0,THA,,1.0,2.0,,,2.0,1.0,2021,2.0,,2.0,,2.0,1.0,,2.0,2.0,2.0,1,1.0,2.0,,2.0,2.0,,58.0,0.0,1.0,,0.0,1,1.0,1.0,Q1 Lowest,East Asia & Pacific (excluding high income),2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,,2.0,1.0,1,2.0,58246340.0,2.0,,Thailand,False,Male,50_59,1.0
1.0,1.0,,1.0,1,2.0,120493279,2.0,0.64118658,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,,1.0,THA,1.0,1.0,4.0,,,1.0,3.0,2021,2.0,,1.0,,2.0,,,1.0,1.0,2.0,1,,2.0,,1.0,2.0,,22.0,1.0,2.0,,0.0,1,1.0,,Q4,East Asia & Pacific (excluding high income),2.0,2.0,1.0,,1.0,1.0,,2.0,,1.0,1.0,1,,58246340.0,3.0,2.0,Thailand,False,Female,18_22,3.0
1.0,1.0,,3.0,1,2.0,120939423,1.0,0.308541205,2.0,,1.0,2.0,2.0,4.0,1.0,1.0,1.0,,,2.0,,1.0,THA,1.0,1.0,4.0,,,1.0,3.0,2021,2.0,,,,2.0,,,2.0,1.0,2.0,1,,1.0,,1.0,2.0,,33.0,0.0,2.0,,0.0,1,2.0,,Q1 Lowest,East Asia & Pacific (excluding high income),2.0,3.0,,,1.0,1.0,,,,1.0,1.0,2,,58246340.0,3.0,2.0,Thailand,False,Female,30_39,3.0
1.0,1.0,,3.0,2,2.0,181722458,2.0,0.205961814,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,4.0,THA,,1.0,4.0,,,1.0,3.0,2021,2.0,,1.0,,2.0,,,2.0,2.0,2.0,1,,,,2.0,2.0,,55.0,1.0,2.0,,1.0,1,1.0,,Q5 Highest,East Asia & Pacific (excluding high income),1.0,3.0,2.0,,1.0,,,,,1.0,1.0,1,,58246340.0,1.0,2.0,Thailand,False,Male,50_59,3.0
1.0,1.0,,,1,2.0,128073072,1.0,0.496218276,1.0,,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,,2.0,,1.0,THA,3.0,1.0,4.0,,,1.0,3.0,2021,2.0,,,,2.0,,,1.0,1.0,2.0,1,,1.0,,1.0,2.0,,30.0,0.0,2.0,,1.0,1,2.0,,Q5 Highest,East Asia & Pacific (excluding high income),1.0,,1.0,,1.0,1.0,,2.0,,1.0,1.0,1,,58246340.0,8.0,1.0,Thailand,False,Female,30_39,3.0
1.0,1.0,,3.0,1,2.0,139200001,1.0,0.349051564,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,THA,1.0,1.0,4.0,,,1.0,3.0,2021,2.0,,2.0,,2.0,,1.0,1.0,1.0,2.0,1,,2.0,1.0,1.0,2.0,,47.0,1.0,2.0,,1.0,1,1.0,,Q3,East Asia & Pacific (excluding high income),1.0,3.0,1.0,,1.0,1.0,,,,1.0,1.0,1,2.0,58246340.0,2.0,2.0,Thailand,False,Female,40_49,3.0
1.0,1.0,,3.0,1,2.0,124245804,1.0,0.933096153,1.0,,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,,1.0,,1.0,THA,1.0,1.0,4.0,,,1.0,3.0,2021,2.0,,,,2.0,,,2.0,1.0,2.0,1,,1.0,,1.0,2.0,,37.0,1.0,2.0,,1.0,1,2.0,,Q1 Lowest,East Asia & Pacific (excluding high income),1.0,3.0,1.0,,1.0,1.0,,,,2.0,1.0,1,,58246340.0,1.0,2.0,Thailand,False,Female,30_39,3.0
1.0,1.0,,,1,2.0,210355279,2.0,1.314183571,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,THA,3.0,1.0,4.0,,,1.0,2.0,2021,2.0,,2.0,,2.0,,1.0,2.0,1.0,2.0,1,,2.0,1.0,1.0,1.0,,28.0,1.0,2.0,,1.0,1,1.0,,Q1 Lowest,East Asia & Pacific (excluding high income),1.0,,1.0,,1.0,1.0,,,,1.0,1.0,1,,58246340.0,8.0,2.0,Thailand,False,Female,23_29,2.0
1.0,1.0,,2.0,2,2.0,153946385,1.0,0.484549483,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,,1.0,THA,2.0,1.0,4.0,,,1.0,2.0,2021,1.0,,1.0,,2.0,,,1.0,1.0,2.0,1,,1.0,,1.0,2.0,,22.0,1.0,2.0,,1.0,1,1.0,,Q3,East Asia & Pacific (excluding high income),2.0,2.0,1.0,,1.0,1.0,,3.0,,1.0,1.0,1,,58246340.0,4.0,2.0,Thailand,False,Male,18_22,2.0
0.0,1.0,,,1,2.0,163620002,1.0,2.248266621,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,,2.0,1.0,2.0,4.0,THA,,1.0,4.0,,,1.0,1.0,2021,2.0,,2.0,,2.0,,1.0,2.0,1.0,2.0,1,,,1.0,2.0,2.0,,17.0,1.0,2.0,,0.0,1,1.0,,Q1 Lowest,East Asia & Pacific (excluding high income),2.0,,,,1.0,,,3.0,,2.0,1.0,2,2.0,58246340.0,8.0,2.0,Thailand,False,Female,17_or_less,1.0
1.0,1.0,,3.0,2,2.0,121949004,,1.312859013,1.0,,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,THA,3.0,1.0,4.0,,,1.0,2.0,2021,2.0,,1.0,,2.0,,,1.0,1.0,2.0,1,,1.0,,1.0,,,32.0,1.0,2.0,,1.0,1,1.0,,Q5 Highest,East Asia & Pacific (excluding high income),1.0,3.0,2.0,,1.0,1.0,,,,,1.0,1,,58246340.0,4.0,,Thailand,False,Male,30_39,2.0
1.0,1.0,,1.0,1,2.0,209813194,,0.894508062,1.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,,,1.0,2.0,2.0,4.0,THA,1.0,1.0,4.0,,,1.0,3.0,2021,1.0,,1.0,,2.0,,1.0,2.0,1.0,1.0,1,,,2.0,1.0,,,23.0,1.0,2.0,,1.0,1,1.0,,Q3,East Asia & Pacific (excluding high income),2.0,2.0,2.0,,1.0,,,3.0,,,1.0,1,,58246340.0,2.0,,Thailand,False,Female,23_29,3.0
1.0,2.0,,1.0,1,2.0,179809468,,3.689425568,1.0,,4.0,2.0,2.0,1.0,2.0,2.0,2.0,,1.0,2.0,,4.0,THA,2.0,1.0,4.0,,,1.0,1.0,2021,1.0,,1.0,,2.0,,,2.0,2.0,2.0,1,,,,1.0,,,18.0,0.0,2.0,,1.0,1,1.0,,Q1 Lowest,East Asia & Pacific (excluding high income),2.0,2.0,2.0,,1.0,,,2.0,,,1.0,1,,58246340.0,2.0,,Thailand,False,Female,18_22,1.0
0.0,1.0,,1.0,2,2.0,202025064,2.0,3.954351335,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,THA,2.0,1.0,4.0,,,2.0,2.0,2021,2.0,,2.0,,2.0,,1.0,1.0,1.0,2.0,1,1.0,1.0,1.0,1.0,2.0,,18.0,1.0,2.0,,1.0,1,1.0,,Q2,East Asia & Pacific (excluding high income),2.0,2.0,2.0,,1.0,2.0,,4.0,,2.0,2.0,1,,58246340.0,2.0,,Thailand,False,Male,18_22,2.0
0.0,2.0,,,2,2.0,180458293,2.0,0.138056999,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,,2.0,THA,,1.0,4.0,,,1.0,3.0,2021,2.0,,1.0,,2.0,1.0,,1.0,2.0,2.0,1,,2.0,,2.0,2.0,,40.0,1.0,2.0,2.0,0.0,1,1.0,,Q5 Highest,East Asia & Pacific (excluding high income),2.0,,2.0,,1.0,2.0,,,,1.0,1.0,1,,58246340.0,9.0,2.0,Thailand,False,Male,40_49,5.0
